date,term,bid_cover,offering
2021-01-04,13-Week,2.95,54000000000.0
2021-01-11,13-Week,2.92,54000000000.0
2021-01-19,13-Week,2.99,54000000000.0
2021-01-25,13-Week,2.92,54000000000.0
2021-02-01,13-Week,2.88,54000000000.0
2021-02-08,13-Week,3.02,54000000000.0
2021-02-16,13-Week,2.72,54000000000.0
2021-02-22,13-Week,2.88,54000000000.0
2021-03-01,13-Week,3.06,54000000000.0
2021-03-08,13-Week,3.06,54000000000.0
2021-03-15,13-Week,3.31,57000000000.0
2021-03-22,13-Week,3.16,57000000000.0
2021-03-29,13-Week,2.68,57000000000.0
2021-04-05,13-Week,3.0,57000000000.0
2021-04-12,13-Week,3.02,57000000000.0
2021-04-19,13-Week,2.64,57000000000.0
2021-04-26,13-Week,2.99,57000000000.0
2021-05-03,13-Week,3.05,57000000000.0
2021-05-10,13-Week,2.72,57000000000.0
2021-05-17,13-Week,2.94,57000000000.0
2021-05-24,13-Week,2.88,57000000000.0
2021-06-01,13-Week,2.74,57000000000.0
2021-06-07,13-Week,2.79,57000000000.0
2021-06-14,13-Week,3.45,57000000000.0
2021-06-21,13-Week,3.62,57000000000.0
2021-06-28,13-Week,3.62,57000000000.0
2021-07-06,13-Week,2.92,57000000000.0
2021-07-12,13-Week,3.05,54000000000.0
2021-07-19,13-Week,3.44,54000000000.0
2021-07-26,13-Week,3.37,54000000000.0
2021-08-02,13-Week,3.03,54000000000.0
2021-08-09,13-Week,3.16,54000000000.0
2021-08-16,13-Week,2.59,51000000000.0
2021-08-23,13-Week,3.3,51000000000.0
2021-08-30,13-Week,3.78,51000000000.0
2021-09-07,13-Week,3.84,51000000000.0
2021-09-13,13-Week,3.55,48000000000.0
2021-09-20,13-Week,3.74,45000000000.0
2021-09-27,13-Week,3.36,42000000000.0
2021-10-04,13-Week,3.45,42000000000.0
2021-10-12,13-Week,3.46,42000000000.0
2021-10-18,13-Week,3.06,48000000000.0
2021-10-25,13-Week,3.34,54000000000.0
2021-11-01,13-Week,3.72,54000000000.0
2021-11-08,13-Week,3.26,54000000000.0
2021-11-15,13-Week,3.32,57000000000.0
2021-11-22,13-Week,3.04,57000000000.0
2021-11-29,13-Week,3.13,57000000000.0
2021-12-06,13-Week,2.82,57000000000.0
2021-12-13,13-Week,2.78,57000000000.0
2021-12-20,13-Week,2.65,60000000000.0
2021-12-27,13-Week,3.02,60000000000.0
2022-01-03,13-Week,2.86,60000000000.0
2022-01-10,13-Week,2.96,60000000000.0
2022-01-18,13-Week,2.56,60000000000.0
2022-01-24,13-Week,2.81,60000000000.0
2022-01-31,13-Week,2.84,60000000000.0
2022-02-07,13-Week,3.0,60000000000.0
2022-02-14,13-Week,3.06,60000000000.0
2022-02-22,13-Week,3.07,60000000000.0
2022-02-28,13-Week,2.85,60000000000.0
2022-03-07,13-Week,2.99,60000000000.0
2022-03-14,13-Week,2.77,60000000000.0
2022-03-21,13-Week,2.6,57000000000.0
2022-03-28,13-Week,2.65,57000000000.0
2022-04-04,13-Week,2.46,57000000000.0
2022-04-11,13-Week,2.64,57000000000.0
2022-04-18,13-Week,2.72,57000000000.0
2022-04-25,13-Week,2.96,51000000000.0
2022-05-02,13-Week,3.27,45000000000.0
2022-05-09,13-Week,3.18,45000000000.0
2022-05-16,13-Week,2.82,45000000000.0
2022-05-23,13-Week,3.06,45000000000.0
2022-05-31,13-Week,2.98,45000000000.0
2022-06-06,13-Week,2.98,45000000000.0
2022-06-13,13-Week,2.27,45000000000.0
2022-06-21,13-Week,2.83,45000000000.0
2022-06-27,13-Week,2.84,45000000000.0
2022-07-05,13-Week,2.53,45000000000.0
2022-07-11,13-Week,2.49,51000000000.0
2022-07-18,13-Week,2.97,54000000000.0
2022-07-25,13-Week,2.95,54000000000.0
2022-08-01,13-Week,2.63,54000000000.0
2022-08-08,13-Week,2.84,54000000000.0
2022-08-15,13-Week,2.64,54000000000.0
2022-08-22,13-Week,2.69,54000000000.0
2022-08-29,13-Week,3.03,54000000000.0
2022-09-06,13-Week,3.06,54000000000.0
2022-09-12,13-Week,2.74,54000000000.0
2022-09-19,13-Week,2.57,54000000000.0
2022-09-26,13-Week,2.56,54000000000.0
2022-10-03,13-Week,2.56,54000000000.0
2022-10-11,13-Week,2.39,57000000000.0
2022-10-17,13-Week,2.49,57000000000.0
2022-10-24,13-Week,2.56,57000000000.0
2022-10-31,13-Week,2.6,57000000000.0
2022-11-07,13-Week,2.72,57000000000.0
2022-11-14,13-Week,2.63,57000000000.0
2022-11-21,13-Week,2.64,54000000000.0
2022-11-28,13-Week,2.56,54000000000.0
2022-12-05,13-Week,2.67,54000000000.0
2022-12-12,13-Week,2.51,54000000000.0
2022-12-19,13-Week,2.57,54000000000.0
2022-12-27,13-Week,2.38,54000000000.0
2023-01-03,13-Week,2.5,54000000000.0
2023-01-09,13-Week,2.61,57000000000.0
2023-01-17,13-Week,2.69,60000000000.0
2023-01-23,13-Week,2.68,60000000000.0
2023-01-30,13-Week,2.47,60000000000.0
2023-02-06,13-Week,2.69,60000000000.0
2023-02-13,13-Week,2.6,60000000000.0
2023-02-21,13-Week,2.72,60000000000.0
2023-02-27,13-Week,2.59,60000000000.0
2023-03-06,13-Week,2.93,57000000000.0
2023-03-13,13-Week,2.15,57000000000.0
2023-03-20,13-Week,2.41,57000000000.0
2023-03-27,13-Week,2.51,57000000000.0
2023-04-03,13-Week,2.49,57000000000.0
2023-04-10,13-Week,2.28,57000000000.0
2023-04-17,13-Week,2.59,57000000000.0
2023-04-24,13-Week,2.74,57000000000.0
2023-05-01,13-Week,2.44,57000000000.0
2023-05-08,13-Week,2.66,57000000000.0
2023-05-15,13-Week,2.79,57000000000.0
2023-05-22,13-Week,2.56,57000000000.0
2023-05-30,13-Week,2.38,63000000000.0
2023-06-05,13-Week,3.15,65000000000.0
2023-06-12,13-Week,2.99,65000000000.0
2023-06-20,13-Week,2.58,65000000000.0
2023-06-26,13-Week,2.99,65000000000.0
2023-07-03,13-Week,3.0,65000000000.0
2023-07-10,13-Week,3.12,65000000000.0
2023-07-17,13-Week,3.11,65000000000.0
2023-07-24,13-Week,2.92,65000000000.0
2023-07-31,13-Week,2.93,65000000000.0
2023-08-07,13-Week,2.83,67000000000.0
2023-08-14,13-Week,3.12,69000000000.0
2023-08-21,13-Week,2.96,69000000000.0
2023-08-28,13-Week,3.04,69000000000.0
2023-09-05,13-Week,2.94,69000000000.0
2023-09-11,13-Week,2.98,69000000000.0
2023-09-18,13-Week,2.86,69000000000.0
2023-09-25,13-Week,2.77,69000000000.0
2023-10-02,13-Week,2.77,71000000000.0
2023-10-10,13-Week,2.79,73000000000.0
2023-10-16,13-Week,3.16,75000000000.0
2023-10-23,13-Week,2.85,75000000000.0
2023-10-30,13-Week,2.78,75000000000.0
2023-11-06,13-Week,2.91,75000000000.0
2023-11-13,13-Week,2.76,75000000000.0
2023-11-20,13-Week,2.9,75000000000.0
2023-11-27,13-Week,2.87,75000000000.0
2023-12-04,13-Week,2.98,75000000000.0
2023-12-11,13-Week,2.99,75000000000.0
2023-12-18,13-Week,2.89,75000000000.0
2023-12-26,13-Week,3.07,75000000000.0
2024-01-02,13-Week,2.71,75000000000.0
2024-01-08,13-Week,2.95,75000000000.0
2024-01-16,13-Week,2.99,75000000000.0
2024-01-22,13-Week,3.03,77000000000.0
2024-01-29,13-Week,2.84,79000000000.0
2024-02-05,13-Week,2.91,79000000000.0
2024-02-12,13-Week,2.92,79000000000.0
2024-02-20,13-Week,2.84,79000000000.0
2024-02-26,13-Week,2.93,79000000000.0
2024-03-04,13-Week,2.65,79000000000.0
2024-03-11,13-Week,2.53,79000000000.0
2024-03-18,13-Week,2.81,76000000000.0
2024-03-25,13-Week,2.88,73000000000.0
2024-04-01,13-Week,2.83,70000000000.0
2024-04-08,13-Week,2.79,70000000000.0
2024-04-15,13-Week,2.95,70000000000.0
2024-04-22,13-Week,2.78,70000000000.0
2024-04-29,13-Week,2.67,70000000000.0
2024-05-06,13-Week,2.72,70000000000.0
2024-05-13,13-Week,2.77,70000000000.0
2024-05-20,13-Week,2.89,70000000000.0
2024-05-28,13-Week,2.87,70000000000.0
2024-06-03,13-Week,2.74,70000000000.0
2024-06-10,13-Week,2.75,70000000000.0
2024-06-17,13-Week,2.93,70000000000.0
2024-06-24,13-Week,2.85,70000000000.0
2024-07-01,13-Week,2.76,73000000000.0
2024-07-08,13-Week,2.84,76000000000.0
2024-07-15,13-Week,2.69,76000000000.0
2024-07-22,13-Week,3.08,76000000000.0
2024-07-29,13-Week,3.01,76000000000.0
2024-08-05,13-Week,2.62,76000000000.0
2024-08-12,13-Week,2.95,76000000000.0
2024-08-19,13-Week,3.12,76000000000.0
2024-08-26,13-Week,3.03,76000000000.0
2024-09-03,13-Week,2.62,76000000000.0
2024-09-09,13-Week,3.22,76000000000.0
2024-09-16,13-Week,2.61,76000000000.0
2024-09-23,13-Week,2.84,76000000000.0
2024-09-30,13-Week,2.71,79000000000.0
2024-10-07,13-Week,2.62,81000000000.0
2024-10-15,13-Week,2.96,81000000000.0
2024-10-21,13-Week,3.07,81000000000.0
2024-10-28,13-Week,2.9,81000000000.0
2024-11-04,13-Week,2.44,81000000000.0
2024-11-12,13-Week,2.87,81000000000.0
2024-11-18,13-Week,2.68,81000000000.0
2024-11-25,13-Week,3.1,81000000000.0
2024-12-02,13-Week,2.89,81000000000.0
2024-12-09,13-Week,2.89,81000000000.0
2024-12-16,13-Week,2.62,81000000000.0
2024-12-23,13-Week,2.86,81000000000.0
2024-12-30,13-Week,2.38,84000000000.0
2025-01-06,13-Week,3.01,84000000000.0
2025-01-13,13-Week,3.09,84000000000.0
2025-01-21,13-Week,2.8,84000000000.0
2025-01-27,13-Week,3.18,84000000000.0
2025-02-03,13-Week,2.65,84000000000.0
2025-02-10,13-Week,3.01,84000000000.0
2025-02-18,13-Week,2.81,80000000000.0
2025-02-24,13-Week,2.9,76000000000.0
2025-03-03,13-Week,2.77,76000000000.0
2025-03-10,13-Week,2.82,76000000000.0
2025-03-17,13-Week,2.89,76000000000.0
2025-03-24,13-Week,2.96,76000000000.0
2025-03-31,13-Week,2.74,76000000000.0
2025-04-07,13-Week,2.82,76000000000.0
2025-04-14,13-Week,2.96,76000000000.0
2025-04-21,13-Week,3.01,76000000000.0
2025-04-28,13-Week,3.1,76000000000.0
2025-05-05,13-Week,2.74,76000000000.0
2025-05-12,13-Week,2.51,76000000000.0
2025-05-19,13-Week,2.76,76000000000.0
2025-05-27,13-Week,3.18,76000000000.0
2025-06-02,13-Week,2.68,76000000000.0
2025-06-09,13-Week,2.69,76000000000.0
2025-06-16,13-Week,2.99,76000000000.0
2025-06-23,13-Week,3.49,76000000000.0
2025-06-30,13-Week,3.04,79000000000.0
2025-07-07,13-Week,2.75,82000000000.0
2025-07-14,13-Week,3.1,82000000000.0
2025-07-21,13-Week,2.98,82000000000.0
2025-07-28,13-Week,3.21,82000000000.0
2025-08-04,13-Week,3.17,82000000000.0
2025-08-11,13-Week,2.64,82000000000.0
2025-08-18,13-Week,2.7,82000000000.0
2025-08-25,13-Week,3.07,82000000000.0
2025-09-02,13-Week,2.96,82000000000.0
2025-09-08,13-Week,2.81,82000000000.0
2025-09-15,13-Week,3.11,82000000000.0
2025-09-22,13-Week,3.33,82000000000.0
2025-09-29,13-Week,2.74,82000000000.0
2025-10-06,13-Week,2.91,84000000000.0
2025-10-14,13-Week,2.88,86000000000.0
2025-10-20,13-Week,3.01,86000000000.0
2025-10-27,13-Week,3.07,86000000000.0
2025-11-03,13-Week,2.62,86000000000.0
2025-11-10,13-Week,2.83,86000000000.0
2025-11-17,13-Week,2.79,86000000000.0
2025-11-24,13-Week,2.85,86000000000.0
2025-12-01,13-Week,2.82,86000000000.0
2025-12-08,13-Week,2.73,86000000000.0
2025-12-15,13-Week,2.68,86000000000.0
2025-12-22,13-Week,2.86,86000000000.0
2025-12-29,13-Week,2.66,86000000000.0
2026-01-05,13-Week,2.84,86000000000.0
2026-01-12,13-Week,2.79,86000000000.0
2026-01-20,13-Week,2.7,89000000000.0
2026-01-26,13-Week,2.9,89000000000.0
2026-02-02,13-Week,2.81,89000000000.0
2026-02-09,13-Week,2.76,89000000000.0
2026-02-17,13-Week,2.71,89000000000.0
2026-02-23,13-Week,3.3,89000000000.0
2026-03-02,13-Week,3.16,89000000000.0
2026-03-09,13-Week,2.92,89000000000.0
2026-03-16,13-Week,2.94,89000000000.0
2026-03-23,13-Week,2.84,89000000000.0
2026-03-30,13-Week,2.66,89000000000.0
2021-01-04,26-Week,3.24,51000000000.0
2021-01-11,26-Week,3.29,51000000000.0
2021-01-19,26-Week,3.09,51000000000.0
2021-01-25,26-Week,3.48,51000000000.0
2021-02-01,26-Week,3.41,51000000000.0
2021-02-08,26-Week,2.99,51000000000.0
2021-02-16,26-Week,3.02,51000000000.0
2021-02-22,26-Week,2.81,51000000000.0
2021-03-01,26-Week,2.91,51000000000.0
2021-03-08,26-Week,3.55,51000000000.0
2021-03-15,26-Week,2.94,54000000000.0
2021-03-22,26-Week,2.96,54000000000.0
2021-03-29,26-Week,2.93,54000000000.0
2021-04-05,26-Week,3.38,54000000000.0
2021-04-12,26-Week,3.39,54000000000.0
2021-04-19,26-Week,3.23,54000000000.0
2021-04-26,26-Week,3.32,54000000000.0
2021-05-03,26-Week,2.72,54000000000.0
2021-05-10,26-Week,3.28,54000000000.0
2021-05-17,26-Week,3.28,54000000000.0
2021-05-24,26-Week,2.78,54000000000.0
2021-06-01,26-Week,3.1,54000000000.0
2021-06-07,26-Week,3.31,54000000000.0
2021-06-14,26-Week,3.32,54000000000.0
2021-06-21,26-Week,3.64,54000000000.0
2021-06-28,26-Week,3.6,54000000000.0
2021-07-06,26-Week,3.59,54000000000.0
2021-07-12,26-Week,3.74,51000000000.0
2021-07-19,26-Week,3.5,51000000000.0
2021-07-26,26-Week,3.18,51000000000.0
2021-08-02,26-Week,3.25,51000000000.0
2021-08-09,26-Week,3.59,51000000000.0
2021-08-16,26-Week,2.87,48000000000.0
2021-08-23,26-Week,3.02,48000000000.0
2021-08-30,26-Week,3.16,48000000000.0
2021-09-07,26-Week,3.79,48000000000.0
2021-09-13,26-Week,3.78,45000000000.0
2021-09-20,26-Week,3.62,45000000000.0
2021-09-27,26-Week,3.24,42000000000.0
2021-10-04,26-Week,3.3,42000000000.0
2021-10-12,26-Week,3.99,42000000000.0
2021-10-18,26-Week,3.12,45000000000.0
2021-10-25,26-Week,3.34,48000000000.0
2021-11-01,26-Week,2.9,48000000000.0
2021-11-08,26-Week,3.31,48000000000.0
2021-11-15,26-Week,3.41,51000000000.0
2021-11-22,26-Week,2.93,51000000000.0
2021-11-29,26-Week,2.99,51000000000.0
2021-12-06,26-Week,2.86,51000000000.0
2021-12-13,26-Week,3.19,51000000000.0
2021-12-20,26-Week,2.85,51000000000.0
2021-12-27,26-Week,2.91,51000000000.0
2022-01-03,26-Week,3.21,51000000000.0
2022-01-10,26-Week,2.9,51000000000.0
2022-01-18,26-Week,2.7,51000000000.0
2022-01-24,26-Week,3.07,51000000000.0
2022-01-31,26-Week,2.74,51000000000.0
2022-02-07,26-Week,3.13,51000000000.0
2022-02-14,26-Week,2.99,51000000000.0
2022-02-22,26-Week,2.75,51000000000.0
2022-02-28,26-Week,3.12,51000000000.0
2022-03-07,26-Week,3.21,51000000000.0
2022-03-14,26-Week,3.08,51000000000.0
2022-03-21,26-Week,3.17,48000000000.0
2022-03-28,26-Week,3.0,48000000000.0
2022-04-04,26-Week,3.29,48000000000.0
2022-04-11,26-Week,3.32,48000000000.0
2022-04-18,26-Week,3.29,48000000000.0
2022-04-25,26-Week,2.99,45000000000.0
2022-05-02,26-Week,2.99,42000000000.0
2022-05-09,26-Week,2.72,42000000000.0
2022-05-16,26-Week,3.09,42000000000.0
2022-05-23,26-Week,3.07,42000000000.0
2022-05-31,26-Week,2.81,42000000000.0
2022-06-06,26-Week,2.87,42000000000.0
2022-06-13,26-Week,3.26,42000000000.0
2022-06-21,26-Week,2.44,42000000000.0
2022-06-27,26-Week,2.79,42000000000.0
2022-07-05,26-Week,2.57,42000000000.0
2022-07-11,26-Week,2.67,42000000000.0
2022-07-18,26-Week,2.65,42000000000.0
2022-07-25,26-Week,3.16,42000000000.0
2022-08-01,26-Week,2.91,42000000000.0
2022-08-08,26-Week,3.09,42000000000.0
2022-08-15,26-Week,2.75,42000000000.0
2022-08-22,26-Week,2.93,42000000000.0
2022-08-29,26-Week,2.88,42000000000.0
2022-09-06,26-Week,3.14,42000000000.0
2022-09-12,26-Week,3.03,42000000000.0
2022-09-19,26-Week,2.75,42000000000.0
2022-09-26,26-Week,2.68,42000000000.0
2022-10-03,26-Week,2.62,42000000000.0
2022-10-11,26-Week,2.86,45000000000.0
2022-10-17,26-Week,2.66,45000000000.0
2022-10-24,26-Week,2.56,45000000000.0
2022-10-31,26-Week,2.95,45000000000.0
2022-11-07,26-Week,2.89,45000000000.0
2022-11-14,26-Week,2.86,45000000000.0
2022-11-21,26-Week,3.03,45000000000.0
2022-11-28,26-Week,2.9,45000000000.0
2022-12-05,26-Week,2.57,45000000000.0
2022-12-12,26-Week,2.66,45000000000.0
2022-12-19,26-Week,2.86,45000000000.0
2022-12-27,26-Week,2.56,45000000000.0
2023-01-03,26-Week,2.78,45000000000.0
2023-01-09,26-Week,2.48,48000000000.0
2023-01-17,26-Week,2.68,48000000000.0
2023-01-23,26-Week,2.76,48000000000.0
2023-01-30,26-Week,2.93,48000000000.0
2023-02-06,26-Week,2.63,48000000000.0
2023-02-13,26-Week,2.54,48000000000.0
2023-02-21,26-Week,2.71,48000000000.0
2023-02-27,26-Week,2.8,48000000000.0
2023-03-06,26-Week,2.8,48000000000.0
2023-03-13,26-Week,2.29,48000000000.0
2023-03-20,26-Week,2.87,48000000000.0
2023-03-27,26-Week,2.85,48000000000.0
2023-04-03,26-Week,2.79,48000000000.0
2023-04-10,26-Week,2.7,48000000000.0
2023-04-17,26-Week,2.78,48000000000.0
2023-04-24,26-Week,2.77,48000000000.0
2023-05-01,26-Week,2.6,48000000000.0
2023-05-08,26-Week,2.83,48000000000.0
2023-05-15,26-Week,2.61,51000000000.0
2023-05-22,26-Week,2.96,54000000000.0
2023-05-30,26-Week,2.58,56000000000.0
2023-06-05,26-Week,3.14,58000000000.0
2023-06-12,26-Week,3.02,58000000000.0
2023-06-20,26-Week,2.65,58000000000.0
2023-06-26,26-Week,2.73,58000000000.0
2023-07-03,26-Week,3.02,58000000000.0
2023-07-10,26-Week,2.93,58000000000.0
2023-07-17,26-Week,3.05,58000000000.0
2023-07-24,26-Week,2.89,58000000000.0
2023-07-31,26-Week,2.95,58000000000.0
2023-08-07,26-Week,2.92,60000000000.0
2023-08-14,26-Week,2.78,62000000000.0
2023-08-21,26-Week,2.95,62000000000.0
2023-08-28,26-Week,3.17,62000000000.0
2023-09-05,26-Week,3.02,62000000000.0
2023-09-11,26-Week,3.15,62000000000.0
2023-09-18,26-Week,3.05,62000000000.0
2023-09-25,26-Week,2.91,62000000000.0
2023-10-02,26-Week,2.88,64000000000.0
2023-10-10,26-Week,2.79,66000000000.0
2023-10-16,26-Week,2.91,68000000000.0
2023-10-23,26-Week,2.7,68000000000.0
2023-10-30,26-Week,2.9,68000000000.0
2023-11-06,26-Week,2.92,68000000000.0
2023-11-13,26-Week,2.75,68000000000.0
2023-11-20,26-Week,2.55,68000000000.0
2023-11-27,26-Week,3.01,68000000000.0
2023-12-04,26-Week,2.66,68000000000.0
2023-12-11,26-Week,3.03,68000000000.0
2023-12-18,26-Week,3.1,68000000000.0
2023-12-26,26-Week,3.23,68000000000.0
2024-01-02,26-Week,3.06,68000000000.0
2024-01-08,26-Week,3.06,68000000000.0
2024-01-16,26-Week,3.17,68000000000.0
2024-01-22,26-Week,2.92,70000000000.0
2024-01-29,26-Week,3.14,70000000000.0
2024-02-05,26-Week,2.91,70000000000.0
2024-02-12,26-Week,2.77,70000000000.0
2024-02-20,26-Week,2.96,70000000000.0
2024-02-26,26-Week,2.92,70000000000.0
2024-03-04,26-Week,2.59,70000000000.0
2024-03-11,26-Week,2.95,70000000000.0
2024-03-18,26-Week,2.76,70000000000.0
2024-03-25,26-Week,2.72,70000000000.0
2024-04-01,26-Week,2.85,70000000000.0
2024-04-08,26-Week,3.0,70000000000.0
2024-04-15,26-Week,2.79,70000000000.0
2024-04-22,26-Week,2.8,70000000000.0
2024-04-29,26-Week,2.98,70000000000.0
2024-05-06,26-Week,2.91,70000000000.0
2024-05-13,26-Week,3.02,70000000000.0
2024-05-20,26-Week,2.92,70000000000.0
2024-05-28,26-Week,3.06,70000000000.0
2024-06-03,26-Week,2.95,70000000000.0
2024-06-10,26-Week,3.09,70000000000.0
2024-06-17,26-Week,2.82,70000000000.0
2024-06-24,26-Week,3.16,70000000000.0
2024-07-01,26-Week,2.99,70000000000.0
2024-07-08,26-Week,2.95,70000000000.0
2024-07-15,26-Week,2.85,70000000000.0
2024-07-22,26-Week,2.85,70000000000.0
2024-07-29,26-Week,2.95,70000000000.0
2024-08-05,26-Week,2.67,70000000000.0
2024-08-12,26-Week,2.73,70000000000.0
2024-08-19,26-Week,3.05,70000000000.0
2024-08-26,26-Week,3.05,70000000000.0
2024-09-03,26-Week,3.08,70000000000.0
2024-09-09,26-Week,2.98,70000000000.0
2024-09-16,26-Week,2.98,70000000000.0
2024-09-23,26-Week,3.42,70000000000.0
2024-09-30,26-Week,3.28,72000000000.0
2024-10-07,26-Week,3.38,72000000000.0
2024-10-15,26-Week,3.05,72000000000.0
2024-10-21,26-Week,2.92,72000000000.0
2024-10-28,26-Week,3.25,72000000000.0
2024-11-04,26-Week,3.0,72000000000.0
2024-11-12,26-Week,2.73,72000000000.0
2024-11-18,26-Week,2.87,72000000000.0
2024-11-25,26-Week,2.69,72000000000.0
2024-12-02,26-Week,3.02,72000000000.0
2024-12-09,26-Week,2.9,72000000000.0
2024-12-16,26-Week,3.29,72000000000.0
2024-12-23,26-Week,2.87,72000000000.0
2024-12-30,26-Week,3.03,72000000000.0
2025-01-06,26-Week,3.2,72000000000.0
2025-01-13,26-Week,2.81,72000000000.0
2025-01-21,26-Week,3.04,72000000000.0
2025-01-27,26-Week,2.92,72000000000.0
2025-02-03,26-Week,3.04,72000000000.0
2025-02-10,26-Week,2.86,72000000000.0
2025-02-18,26-Week,2.63,70000000000.0
2025-02-24,26-Week,3.05,68000000000.0
2025-03-03,26-Week,3.27,68000000000.0
2025-03-10,26-Week,3.03,68000000000.0
2025-03-17,26-Week,3.01,68000000000.0
2025-03-24,26-Week,3.27,68000000000.0
2025-03-31,26-Week,2.99,68000000000.0
2025-04-07,26-Week,2.79,68000000000.0
2025-04-14,26-Week,2.8,68000000000.0
2025-04-21,26-Week,2.93,68000000000.0
2025-04-28,26-Week,2.8,68000000000.0
2025-05-05,26-Week,3.52,68000000000.0
2025-05-12,26-Week,3.26,68000000000.0
2025-05-19,26-Week,2.59,68000000000.0
2025-05-27,26-Week,2.95,68000000000.0
2025-06-02,26-Week,3.13,68000000000.0
2025-06-09,26-Week,2.74,68000000000.0
2025-06-16,26-Week,2.73,68000000000.0
2025-06-23,26-Week,2.7,68000000000.0
2025-06-30,26-Week,2.77,71000000000.0
2025-07-07,26-Week,3.0,73000000000.0
2025-07-14,26-Week,3.1,73000000000.0
2025-07-21,26-Week,3.06,73000000000.0
2025-07-28,26-Week,3.36,73000000000.0
2025-08-04,26-Week,3.14,73000000000.0
2025-08-11,26-Week,3.21,73000000000.0
2025-08-18,26-Week,2.95,73000000000.0
2025-08-25,26-Week,3.36,73000000000.0
2025-09-02,26-Week,2.7,73000000000.0
2025-09-08,26-Week,3.17,73000000000.0
2025-09-15,26-Week,3.09,73000000000.0
2025-09-22,26-Week,3.01,73000000000.0
2025-09-29,26-Week,3.0,73000000000.0
2025-10-06,26-Week,3.04,75000000000.0
2025-10-14,26-Week,2.95,77000000000.0
2025-10-20,26-Week,3.02,77000000000.0
2025-10-27,26-Week,3.06,77000000000.0
2025-11-03,26-Week,2.92,77000000000.0
2025-11-10,26-Week,2.95,77000000000.0
2025-11-17,26-Week,2.8,77000000000.0
2025-11-24,26-Week,2.77,77000000000.0
2025-12-01,26-Week,3.02,77000000000.0
2025-12-08,26-Week,3.01,77000000000.0
2025-12-15,26-Week,2.84,77000000000.0
2025-12-22,26-Week,3.18,77000000000.0
2025-12-29,26-Week,2.52,77000000000.0
2026-01-05,26-Week,3.28,77000000000.0
2026-01-12,26-Week,3.17,77000000000.0
2026-01-20,26-Week,2.95,77000000000.0
2026-01-26,26-Week,3.07,77000000000.0
